user address:0xe009A8DC43F4Be935f18A997689b431723d109a8, avarger amount: 4219.2388265045484758, lottery amount:10
user address:0x3283b407df806543Cb321Ad9Cb363ECCb33067d5, avarger amount: 42.3723869570842101, lottery amount:2
user address:0x94384b9D832862243f8ED52658de1f42B8e172b4, avarger amount: 39.6083571098719709, lottery amount:2
user address:0x6C01ec9622e50799d62ca076F2e2aa34DC840D5B, avarger amount: 38.3914938624448626, lottery amount:2
user address:0x5c9d09716404556646B0B4567Cb4621C18581f94, avarger amount: 38.3914938624448626, lottery amount:2
user address:0xBd1B3513Bb0Ce1529242Cfb28926618809592362, avarger amount: 37.503145555078024, lottery amount:2
user address:0x3531386bADa1AC1D9c36Bb9364305e43f2Ac87D7, avarger amount: 37.0046353827880912, lottery amount:2
user address:0xA25794684Ad0a83c35E64787d605eb21b593c5ee, avarger amount: 36.9996809160329136, lottery amount:2
user address:0x094b57E48ac689C542eD8732D35641ff733237f7, avarger amount: 36.9395285244559793, lottery amount:2
user address:0x2C6EFf3cCd4dD62DD857944087B6BCdD69ec2018, avarger amount: 36.71896708111505, lottery amount:2
user address:0x699990A8e7ada9E92C932D6e8fb365024fC74b43, avarger amount: 36.5181524554292192, lottery amount:2
user address:0x1D991eb990040F79557A3aBc3B899F81c5bdB19F, avarger amount: 36.4825292534444125, lottery amount:2
user address:0x10534D4e612071E6B6480C498dd8BDB8f51b9ed7, avarger amount: 36.0521879669200141, lottery amount:2
user address:0x951b7c7d65636DA3971eCa0eb119ecd26230B5dD, avarger amount: 34.8748117649984107, lottery amount:2
user address:0x9c766c2afc9C9Db4371885aEE8027eab262A1F0d, avarger amount: 34.2101448305234708, lottery amount:2
user address:0x565c2AC754766ed30890226e70d05400FB3D404a, avarger amount: 33.77231528745201, lottery amount:2
user address:0x2b5cc85313A115D5fA38d5E549B6aeca7669Ec7D, avarger amount: 33.3444629959869245, lottery amount:2
user address:0x024E4FB5632cd32499ce60Fe5D892F202E1840C6, avarger amount: 33.3427747778221111, lottery amount:2
user address:0x91b4ADe96e8d0eEfdf2a57cef161D13DC633E0d7, avarger amount: 33.2202705296652129, lottery amount:2
user address:0x336d4aFD4c1e0B82a2Bb38859C234c54eDF0a983, avarger amount: 33.1443275128187278, lottery amount:2
user address:0x4e12eB25d526d808AF8b503BE3F30e0c7aE49f4c, avarger amount: 32.9118104140281703, lottery amount:2
user address:0x2e7F4121D3b6FA85BC59aF13d2308EdF05aC3966, avarger amount: 32.3498402605635934, lottery amount:2
user address:0x432FCd67815D5cC72808A7815a02373FDEE7d740, avarger amount: 32.0096210491609224, lottery amount:2
user address:0xF07A7E8302cDe616f233fCa4fF8aC3701D58faae, avarger amount: 31.8762002100850904, lottery amount:2
user address:0x178255e4B37492240A4b4D198Adb1ffEd6d71E16, avarger amount: 31.6149895272335664, lottery amount:2
user address:0x677AcC5a6E63EB12bFf0353e5d4BE7437e983662, avarger amount: 31.6117832730531423, lottery amount:2
user address:0x9554A1Cf07a20616778821Db521bAaCaa79a6631, avarger amount: 30.8305059087743963, lottery amount:2
user address:0x95A64C8F0340fB22722142BA5430A20Fcbea4A8f, avarger amount: 30.0012557867612763, lottery amount:2
user address:0xE8E61Db7918bD88E5ff764Ad5393e87D7AaEf9aD, avarger amount: 29.6574664708397181, lottery amount:2
user address:0xf098e7F0e2e2c5F45B90824a78BE884aE8102C30, avarger amount: 29.5972900067056475, lottery amount:2
user address:0x34E10Be3bB361376e89c548f9eDE2832000a8BC8, avarger amount: 28.4521239202189476, lottery amount:2
user address:0x0079CE80043EDc3325598e4A3b6293ab779bf174, avarger amount: 28.3926627800916265, lottery amount:2
user address:0xC7EF24CeD7F766bc5f502BcD3bf20c81eb2fB644, avarger amount: 27.4210236166859053, lottery amount:2
user address:0xEdb46071e2519472022995f9dE4d24c4CfDde002, avarger amount: 27.2204548273350598, lottery amount:2
user address:0x108cAbA6aB68eA4b177618eFcDdc4c06e52122BF, avarger amount: 27.0655627896977701, lottery amount:2
user address:0xb75CAAcc1d36f81726237E356aD0C62526591844, avarger amount: 26.5946695866191227, lottery amount:2
user address:0x562BF1B67Dc40d9b7C3ddd49E45aE58e61E1B76E, avarger amount: 26.3418594338881277, lottery amount:2
user address:0xf87F7704aCDdA6B02d3f7d16bbF62cb42330fCD5, avarger amount: 26.2916710916277068, lottery amount:2
user address:0x8c16C8FE98a50B515cF8268090bcB8886B241908, avarger amount: 26.1804424476151906, lottery amount:2
user address:0xFF389e55ee4dD64D82B2b6FefEF3F7aA63B218fD, avarger amount: 25.7721373042792923, lottery amount:2
user address:0x73A651063F7E3169624c05d76F728D489a97dCD4, avarger amount: 25.7699124224260147, lottery amount:2
user address:0x4d883824258f7253101f266a23207DCb2Dd45768, avarger amount: 25.7523049197598268, lottery amount:2
user address:0x0952ecc0080Ed9A0cBD5839a3CC6758b85C3a835, avarger amount: 25.7037280102754934, lottery amount:2
user address:0x7D75D895241813B6283f92EBA762a50eAF3244f0, avarger amount: 25.3580849613391573, lottery amount:2
user address:0x5369CC705E8356085eEC5fA48bfeA9D91F8e5d5D, avarger amount: 25.2840702656395837, lottery amount:2
user address:0xEDc05702ccd99f28834491f4e11b2ee81D6d889c, avarger amount: 25.1593379904206826, lottery amount:2
user address:0x2BB7Ce5f7750E6e21445243Effd48200cBb63E49, avarger amount: 25.1440519492046457, lottery amount:2
user address:0xa275179da5C9C5F87C7497CBe3b70AaF2878a421, avarger amount: 25.1152977343373977, lottery amount:2
user address:0xf17441352d36a537c36dB7782B7f08651fbBD86F, avarger amount: 24.9300976384047443, lottery amount:1
user address:0x3cEB1C50cB01A304b8544cb9B13E427D08b288c7, avarger amount: 24.4865245621826651, lottery amount:1
user address:0xc014Af9fAD3C2A594bc47012262F6864921de5B5, avarger amount: 24.1945033417811527, lottery amount:1
user address:0x71fACC1A6489f97FA9ce5Dba51a546e0cd1eE92E, avarger amount: 23.8666172108149927, lottery amount:1
user address:0x1E7436d46184c748565A36130970222f298DbDB7, avarger amount: 23.7183589840917673, lottery amount:1
user address:0xdaef4F083631fEBaC8A7628E173ED1a77761bCBb, avarger amount: 23.5501944647227215, lottery amount:1
user address:0xBFE99Ce9D2A2f3680fe22F1a38FA2Efd5F955D4b, avarger amount: 23.1788600678604425, lottery amount:1
user address:0x24af0150B7A7Cb2e934f1C6531c751E08863ee9E, avarger amount: 23.0486997195910933, lottery amount:1
user address:0x16e341883cc8B9233cf3F55d3c808C9E82ea9eBB, avarger amount: 22.9937887204627413, lottery amount:1
user address:0x2A6Be69cd729288006f831737D5032f15626d52c, avarger amount: 21.7485042379860503, lottery amount:1
user address:0x67E8a61859fC7AEcD5660B962F0b49fCa7FA0e89, avarger amount: 21.5709743823340839, lottery amount:1
user address:0x1A90C9dA4c3e3DD7eadA67D6a09C4828417D4aCa, avarger amount: 20.8329616647291458, lottery amount:1
user address:0x47439eE571A136fc3D38a394ebfeDC966f8d491d, avarger amount: 20.7557522349042122, lottery amount:1
user address:0xb19367DcbC2b0561c1f9cAf4E40F083bd64e1b2c, avarger amount: 20.21751253, lottery amount:1
user address:0x893B91352f717f8d0a633A4C9BA5D190B86ccA43, avarger amount: 20.0462749405286267, lottery amount:1
user address:0x24E9FB39C5F69a9DFC6558A3Df26468731Cd76C1, avarger amount: 19.8393058914374075, lottery amount:1
user address:0xC15B2336797a5A7F3110453598462FbaF4205AB6, avarger amount: 19.8177575704682894, lottery amount:1
user address:0xeC32D8B0bcd1d1cA134767F9f8a5871c8D373475, avarger amount: 19.8059684548692322, lottery amount:1
user address:0x1236e900B3164ABe9e2E4096FeA9FE5559320847, avarger amount: 19.6711707230538541, lottery amount:1
user address:0xd91ceE8353074a35895c9Cb78833c90Abd3e8665, avarger amount: 19.4963148146039264, lottery amount:1
user address:0x088f33F44C2DAf3C084918eECB1E8058E79DD1bC, avarger amount: 19.2623784920702617, lottery amount:1
user address:0x1A79E2ac1f4F79d85afca3f91b88a84CDF443Fc6, avarger amount: 19.0618698514706156, lottery amount:1
user address:0x24D768d1fFadea536f293354553d360c7E16a8E0, avarger amount: 18.9985730245454032, lottery amount:1
user address:0xFB643E874D12314d02f5949D95a9dd9F87A4a86C, avarger amount: 17.7608476967118189, lottery amount:1
user address:0x5d5Cf7048Ad860Fca823950184bc2a68DbB4f9C9, avarger amount: 17.4049729658634405, lottery amount:1
user address:0xc7c1bBA80eb8d6822FD7f733631DBDD03FFE4B60, avarger amount: 17.2674908162476017, lottery amount:1
user address:0x353a527997F845293A25A2ef0920C0Dd22e1F511, avarger amount: 17.2569644443233975, lottery amount:1
user address:0x797CcC1E88dD635c1df3f953602D34F94C684951, avarger amount: 17.1674532139123849, lottery amount:1
user address:0x9b4c436F40e7fbae7bAD8B7547A2E8652c71B6c5, avarger amount: 17.0965091227302251, lottery amount:1
user address:0xdd62d76d44c520EA82fe7E503994354e59672180, avarger amount: 16.5695380899926463, lottery amount:1
user address:0xeE98BaE37E148CFA9657aE410a530D31530758a7, avarger amount: 16.3220069596939516, lottery amount:1
user address:0x342aA41f52261D354d5AA71bfbCf30a17Fbc05ad, avarger amount: 16.2168255513876789, lottery amount:1
user address:0xeE7164C2A20CA710433E6e9c68B33C6549fd91d7, avarger amount: 15.8646041094823236, lottery amount:1
user address:0xAF842Ccb244C41B6e6FE5DF1D96d5CbC679E52D7, avarger amount: 15.6777821990480804, lottery amount:1
user address:0xa42cf12859dD2Bf5832C1A8D7dA1B27b0F2c795d, avarger amount: 15.57488265361724, lottery amount:1
user address:0x96789ACD511c1be8EA6D958C147759292E6bC099, avarger amount: 15.3794826218294267, lottery amount:1
user address:0x478bb542f7658d635ABBA67edB987806DFF5b83d, avarger amount: 15.3316955274247151, lottery amount:1
user address:0x71541A65789E5760704DF98Ad2C6a4ca8a71C80e, avarger amount: 15.0215916262145087, lottery amount:1
user address:0xaee2Ae13EBf81d38df5a9Ed7013E80EA3f72e39b, avarger amount: 14.9942224118745688, lottery amount:1
user address:0x3deA93138a1A73500C4A773037b893D9A04Ad0E7, avarger amount: 14.7342607790856637, lottery amount:1
user address:0x19527a176a9634ef8b83e25bC0FDD90533E0A966, avarger amount: 14.6842602874324264, lottery amount:1
user address:0xCcd2B26Bc1bDB18eBFFF2988761B6B8410B47104, avarger amount: 14.6835124866814792, lottery amount:1
user address:0xd7fB451a7EB452c6679552c636f2b242426CAe7A, avarger amount: 14.4595132889031196, lottery amount:1
user address:0xD8CCcbb18125DAE44f75b07F844E16b692E812F2, avarger amount: 14.3185116370484627, lottery amount:1
user address:0xF67184055e31748f3445C5A78B2650Dc513Bc029, avarger amount: 13.9180621167987897, lottery amount:1
user address:0x3084e2D8cbdff6bBafC8365c3690e89AA32271fB, avarger amount: 13.7313683334408357, lottery amount:1
user address:0x176F4c285A6a05504A46eE861843511574471654, avarger amount: 13.6693828383270098, lottery amount:1
user address:0xB47a3f0b0ac397ae420e7CDA42EF22b0FFff3A26, avarger amount: 13.5167143239869331, lottery amount:1
user address:0x68cDa07cbCAC03FfdC90b17c75d1e4d94D4394A3, avarger amount: 13.3511255713997074, lottery amount:1
user address:0x5a4Db3F86C8eeF6030418598188E29CEa86025d1, avarger amount: 13.3081740625812754, lottery amount:1
user address:0x1eC3Bc15D4F6c435948F7007d640CF208F34762F, avarger amount: 13.029736554765598, lottery amount:1
user address:0x9B6131eAE892dE5C96DDD3Af52c74359Cb99596e, avarger amount: 12.9920799891253757, lottery amount:1
user address:0xA583A3B17c8C36C902A441ddE105499661a7e908, avarger amount: 12.8795427901811161, lottery amount:1
user address:0xCa40E883BF3d614E5e0971d2C3c68eca9F22aBcE, avarger amount: 12.8486166386885711, lottery amount:1
user address:0x33F5200377b345630Bd99E7bD9c746E46266Fc6A, avarger amount: 12.7063377848431602, lottery amount:1
user address:0x78343d9b213B27b97a6ca27B284E8A9e8a93fAf2, avarger amount: 12.606344246021029, lottery amount:1
user address:0xA4B2D9E832a80B1125f9C3fc4a4F240ae8fA5804, avarger amount: 12.4774931231666485, lottery amount:1
user address:0x43951C6bd7396F7EAd4c4f6958fa9ef6d8f57300, avarger amount: 12.349196190265897, lottery amount:1
user address:0x48805B820837F9dCa575e92Aa662A1cdF589ee8b, avarger amount: 12.3242252927133296, lottery amount:1
user address:0xD028BaBBdC15949aAA35587f95F9E96c7d49417D, avarger amount: 11.8067828865251919, lottery amount:1
user address:0x361d4Da8936c19100cc7643FAefbad2632F7e321, avarger amount: 11.6952352708853854, lottery amount:1
user address:0xd507D4Af71088BAfbf2eA0CdB6962694F850DE01, avarger amount: 11.5454351286149615, lottery amount:1
user address:0x45988c3d7A4Ba9B93A0FeF23476ad689Df7Eddb0, avarger amount: 11.4077330957148739, lottery amount:1
user address:0xdbD62b8115f0C4065cE4eEB77d9296cB7bFC3913, avarger amount: 11.0977710082550046, lottery amount:1
user address:0x0C111c473bD87Bf696791119a27808538A122Bf6, avarger amount: 11.0545696277009654, lottery amount:1
user address:0xA74EB9340F4C25cD27dfA0e99cE70aCe3A8CC9d3, avarger amount: 11.0204195191391958, lottery amount:1
user address:0x14484Be0F09838e614e13dA949c67604deF5fD4e, avarger amount: 11.0168206088418946, lottery amount:1
user address:0x53ea7752746BC0F38b34C085E46194b2C8487BF5, avarger amount: 10.891188437857221, lottery amount:1
user address:0x239e4EC9f4ee28884B727F93AB3feA188E681053, avarger amount: 10.8721972258378652, lottery amount:1
user address:0x755c72635644dA821FE915118dEFC2ACD8b87Cd8, avarger amount: 10.8530477605736278, lottery amount:1
user address:0xCb202dF396B295c3B716988CE67d91afc17Ec689, avarger amount: 10.8399277749142708, lottery amount:1
user address:0x905F9BAA2332c8A3399D77D6A0BD094e9B11d9F0, avarger amount: 10.790892386284578, lottery amount:1
user address:0x8214E4Ab4Fd9212b7e14d97cC0bbA6B9F4C37FEB, avarger amount: 10.7795334275775335, lottery amount:1
user address:0x2759321Df4C0f0475c41BBf9d17891bd42E32C3c, avarger amount: 10.7551627118790988, lottery amount:1
user address:0x65D94166e9a29CE5D7C57E5E1ff8Ff3B671Aa5bA, avarger amount: 10.548669916326986, lottery amount:1
user address:0x2d413cc037773F5234C2D270F25d01d5DF993A5E, avarger amount: 10.3310493056097478, lottery amount:1
user address:0xFa63E6A53c6C93A0c8Dd4fE57ebe088EC4aEaBbD, avarger amount: 10.3297966298952767, lottery amount:1
user address:0x14636bcEd44f474BC78733beef874384f8770115, avarger amount: 10.3056317121135752, lottery amount:1
user address:0x8308244C8E5b70E3f237E699551C3648a8F798f4, avarger amount: 10.0373054644715434, lottery amount:1
user address:0x12670A2Cf547C47f3C8Cf9cAD5AEf114555B9be7, avarger amount: 10.0259859872016448, lottery amount:1
user address:0x09c0e7D6C97b942a06361Bed21a1f4224d7988F5, avarger amount: 9.9818385815796953, lottery amount:1
user address:0xA9f6764a61E43689F79a5d033a8E09fcB90FCd28, avarger amount: 9.9525283568281813, lottery amount:1
user address:0x7994fC4A94dD012d9D5dE7d4894cFbC5a62A8d3f, avarger amount: 9.9187398471951192, lottery amount:1
user address:0x50F12c8A1b104e86EA6c1da79Fb5e1e46F088D5c, avarger amount: 9.879539658838395, lottery amount:1
user address:0x2D52F7BaE61912f7217351443eA8a226996a3Def, avarger amount: 9.8682080754309653, lottery amount:1
user address:0x0989B6552398c658ce762B8E6Df24F5036284b68, avarger amount: 9.860728868238343, lottery amount:1
user address:0xb503C35D4D7f5C73bAC02e2b446085993c502eD9, avarger amount: 9.8601430414714628, lottery amount:1
user address:0x8B065A3e6a1816b6B7eA2E76F109C4490a26F482, avarger amount: 9.8594858070175673, lottery amount:1
user address:0x2AE829024B799046152e39FA6BB45A38B3D8b130, avarger amount: 9.8080147238914437, lottery amount:1
user address:0xEf52f55116BADd0B2f00af07421F6d57Bbb98F22, avarger amount: 9.7525211923034997, lottery amount:1
user address:0xEE4aa56D4D6eFB7b560037b288765d9c1ac0396d, avarger amount: 9.750692077240147, lottery amount:1
user address:0xFE4B04ADe5478F3B649614221CDCc43EE31fA27e, avarger amount: 9.7443778340424145, lottery amount:1
user address:0x0d68cF3fe032449B6E01DA8DA2862393E9170D30, avarger amount: 9.663766225323842, lottery amount:1
user address:0xdeA3c06EEe614bF84e74d505173822236c8Ad135, avarger amount: 9.3261359459610302, lottery amount:1
user address:0x7c1C3C0D538736128E1EC9De82E4DA9e7dc94A75, avarger amount: 9.3060724541770813, lottery amount:1
user address:0xa1d0B3B360595A82dbAAC1667535579bC568F8DD, avarger amount: 9.28061763125, lottery amount:1
user address:0xe1f91955016fe6a240dE834Addd26c33a8b2250f, avarger amount: 9.1895014607390354, lottery amount:1
user address:0x9Ab30e5206df3f80B670187D7788eB1De2a1DbeF, avarger amount: 9.066131323300169, lottery amount:1
user address:0xAc8C73e499f337E9b5d4F6055B1fB20F1d588191, avarger amount: 9.0521511477282348, lottery amount:1
user address:0xF4875Ec545c17819a277E3E002aA45A139354819, avarger amount: 9.0092333195104335, lottery amount:1
user address:0x05426906d7564DB9e9267FDdfeD28d844E81940A, avarger amount: 8.9741548257416458, lottery amount:1
user address:0xb38307818d1357Db41B33Cc8340D3AD9ED0C35Ce, avarger amount: 8.9261080423843706, lottery amount:1
user address:0x9B365Dc77FD0a7B43fbeEEAf8DFaBD5Bf3CfCF8E, avarger amount: 8.9112380254477883, lottery amount:1
user address:0xee66AB3B98e9BA86D8cFCDB653EF55b741E9C230, avarger amount: 8.9014274001842303, lottery amount:1
user address:0x77B4c9590c486B0b8D32D526A7dEB7C6364bD9BB, avarger amount: 8.8839720323742415, lottery amount:1
user address:0x32bd15ab5031Ae10CF434Cb4C962630466F36175, avarger amount: 8.8536639206796153, lottery amount:1
user address:0x945728797887fDEbc2d2Df277B5b506A43d6435D, avarger amount: 8.6491357879119271, lottery amount:1
